ID,alcohol,amphet,benzos,cannabis,coke,crack,ecstasy,heroin,ketamine,legalhigh,LSD,meth,mushrooms,nicotine
209,2,1,0,2,2,0,1,0,1,1,1,0,1,2
1304,2,2,2,1,2,0,2,0,1,2,1,1,1,1
1626,2,0,0,0,0,0,0,0,0,0,0,0,0,2
59,2,1,0,2,2,1,1,1,1,1,1,0,1,2
1502,2,0,0,2,0,0,0,0,0,2,0,1,1,1
1666,2,0,0,0,0,0,0,0,0,0,0,0,0,0
367,2,0,1,1,0,0,0,0,0,0,0,0,0,1
1174,2,0,1,2,0,0,1,0,0,1,1,0,0,1
597,2,1,0,2,1,0,2,0,0,0,0,0,0,2
1059,2,2,2,2,0,0,0,0,0,2,0,0,1,0
1518,2,1,1,1,1,0,1,0,0,0,1,1,1,2
1485,1,1,1,1,1,0,0,1,0,1,1,0,1,1
747,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,2,1,1,2,2,2,2,1,1,1,1,1,1,2
1777,2,0,2,2,2,0,1,0,0,1,1,2,1,1
119,2,0,2,1,0,0,0,0,0,0,1,1,0,2
1180,2,2,2,2,2,0,1,1,1,2,1,2,0,1
679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,1,1,1,1,1,1,1,1,0,0,1,1,0,1
517,2,1,2,2,0,0,1,0,0,2,0,2,1,2
82,2,1,1,1,1,0,0,1,0,0,1,1,1,1
1090,2,0,0,1,0,0,0,0,0,0,0,0,0,1
900,2,0,0,2,0,0,0,0,0,1,0,0,0,2
384,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1599,2,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1589,2,0,0,0,0,0,0,0,0,0,0,0,0,1
333,0,0,0,0,0,0,0,0,0,0,0,0,0,2
986,2,1,0,2,1,0,2,0,0,1,0,0,2,2
1400,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1047,2,0,2,1,2,0,1,1,1,2,1,2,0,0
976,2,0,0,2,0,0,1,0,0,1,1,0,0,2
1866,2,1,2,2,1,1,1,1,1,0,1,2,1,2
455,2,2,2,2,1,1,1,2,1,2,2,2,1,2
494,2,1,0,2,1,0,2,0,1,1,0,0,1,2
1399,1,1,1,1,1,1,1,0,0,1,1,0,1,1
288,1,0,1,1,0,0,0,0,0,0,0,0,0,0
809,2,0,2,1,1,0,0,0,0,0,0,2,0,2
1874,2,1,0,2,0,0,1,0,0,0,1,0,1,2
1317,2,1,0,2,1,0,1,0,0,1,1,0,1,2
1366,2,2,1,2,0,0,0,0,0,0,1,0,1,1
882,2,2,2,2,2,0,2,2,2,2,2,2,2,2
1684,2,1,0,1,1,0,1,0,1,1,1,0,1,2
781,2,1,0,1,1,0,1,1,0,1,1,1,1,1
817,2,1,2,2,1,2,1,1,1,1,1,1,1,2
1020,0,2,1,2,1,0,2,0,2,2,2,0,1,0
1564,2,1,1,1,1,0,1,0,1,0,1,0,1,1
331,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,2,2,1,2,2,0,2,0,2,2,2,1,2,2
717,1,0,1,2,0,0,0,0,0,0,0,0,0,2
1009,2,2,1,1,1,0,1,0,0,1,1,0,1,2
1028,1,0,1,1,0,0,1,1,0,0,1,1,1,0
1414,2,0,0,1,0,0,0,0,0,1,0,0,1,1
178,2,0,0,0,0,0,0,0,0,0,0,0,0,0
913,2,2,2,2,2,0,1,2,0,0,0,2,1,2
699,2,2,1,2,1,0,1,1,0,0,1,0,1,2
87,2,0,0,1,0,0,0,0,0,0,0,0,0,2
1327,2,0,0,2,1,0,1,0,0,2,0,0,1,2
1792,2,1,1,1,1,0,1,1,1,0,1,2,1,1
461,2,1,2,2,1,0,1,1,2,1,1,1,1,2
55,2,0,0,1,2,0,1,0,0,1,1,0,1,1
1420,2,1,1,2,2,0,1,0,1,1,2,1,2,2
222,1,0,0,0,0,0,0,0,0,0,0,0,0,1
114,2,0,1,1,0,0,0,0,0,0,0,0,0,2
867,2,0,0,2,0,0,2,0,0,0,0,0,0,0
1212,2,0,0,2,0,0,0,0,0,2,0,0,2,1
983,2,2,2,2,2,0,2,0,0,2,0,2,0,2
175,2,0,1,0,0,0,0,0,0,0,0,0,0,2
852,2,0,0,2,0,0,0,0,0,0,0,0,2,2
593,2,0,0,2,1,1,1,0,0,1,0,0,0,2
1476,2,2,2,1,2,1,2,2,1,1,1,2,1,2
19,2,1,1,1,1,0,1,0,0,1,1,0,1,0
427,2,1,0,2,1,0,1,0,0,1,1,0,1,2
1263,2,1,0,1,1,0,1,0,0,0,0,0,0,2
286,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1728,2,0,0,0,0,0,0,0,0,0,0,0,0,2
432,2,1,0,1,1,0,1,0,1,0,0,0,1,2
1800,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1725,2,0,0,1,0,0,0,0,0,0,0,0,0,1
32,1,0,1,0,0,0,0,0,0,0,0,0,0,1
831,2,1,0,2,0,0,1,0,0,0,2,0,0,2
1592,2,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1266,2,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2,0,1,1,0,0,0,0,0,0,0,0,0,1
564,2,0,1,1,0,0,0,0,0,0,1,0,1,2
1050,2,0,0,2,0,0,0,0,0,0,0,0,0,2
1509,2,0,1,1,0,0,1,0,0,0,0,0,0,2
1124,1,1,1,1,1,1,1,0,1,1,1,2,1,2
345,2,1,2,2,2,1,1,1,0,1,1,1,1,2
633,2,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1,1,1,1,1,1,1,1,0,0,1,1,1,2
84,1,0,2,1,0,0,0,0,0,0,0,0,0,2
